,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
419,2018,2,La Rioja,51.931,17,51.948
420,2018,2,Mendoza,199.468,1.484,200.952
421,2018,2,Misiones,106.147,,106.147
422,2018,2,Neuquén,113.842,2.006,115.848
423,2018,2,Río Negro,111.176,1.059,112.235
424,2018,2,Salta,134.166,1,134.167
425,2018,2,San Juan,63.443,658,64.101
426,2018,2,San Luis,21.168,300,21.468
427,2018,2,Santa Cruz,33.970,435,34.405
428,2018,2,Santa Fe,684.243,309,684.552
429,2018,2,Santiago Del Estero,83.773,2,83.775
430,2018,2,Tierra Del Fuego,44.199,508,44.707
431,2018,2,Tucumán,169.926,31,169.957
432,2018,1,Buenos Aires,3.464.882,10.564,3.475.446
433,2018,1,Capital Federal,1.359.882,6.688,1.366.570
434,2018,1,Catamarca,33.934,11,33.945
435,2018,1,Chaco,96.925,12,96.937
436,2018,1,Chubut,95.532,2.427,97.959
437,2018,1,Córdoba,713.825,101,713.926
438,2018,1,Corrientes,94.406,11,94.417
439,2018,1,Entre Ríos,197.346,48,197.394
440,2018,1,Formosa,32.328,- 0,32.328
441,2018,1,Jujuy,44.405,1,44.406
442,2018,1,La Pampa,82.668,396,83.064
443,2018,1,La Rioja,52.228,17,52.245
444,2018,1,Mendoza,199.463,1.484,200.947
445,2018,1,Misiones,103.580,- 0,103.580
446,2018,1,Neuquén,115.897,2.006,117.903
447,2018,1,Río Negro,110.057,1.062,111.119
448,2018,1,Salta,133.182,1,133.183
449,2018,1,San Juan,62.610,658,63.268
450,2018,1,San Luis,21.096,300,21.396
451,2018,1,Santa Cruz,33.970,435,34.405
452,2018,1,Santa Fe,679.717,309,680.026
453,2018,1,Santiago Del Estero,82.916,2,82.918
454,2018,1,Tierra Del Fuego,31.106,508,31.614
455,2018,1,Tucumán,168.026,31,168.057
456,2017,4,Buenos Aires,3.171.206,10.690,3.181.896
457,2017,4,Capital Federal,1.575.418,6.906,1.582.324
458,2017,4,Catamarca,29.548,10,29.558
459,2017,4,Chaco,96.603,12,96.615
460,2017,4,Chubut,91.012,2.428,93.440
461,2017,4,Córdoba,709.874,105,709.979
462,2017,4,Corrientes,93.760,11,93.771
463,2017,4,Entre Ríos,193.654,49,193.703
464,2017,4,Formosa,32.056,- 0,32.056
465,2017,4,Jujuy,43.551,1,43.552
466,2017,4,La Pampa,81.675,396,82.071
467,2017,4,La Rioja,52.177,17,52.194
468,2017,4,Mendoza,178.661,1.490,180.151
469,2017,4,Misiones,103.895,- 0,103.895
470,2017,4,Neuquén,114.965,2.006,116.971
471,2017,4,Río Negro,108.702,1.062,109.764
472,2017,4,Salta,132.811,1,132.812
473,2017,4,San Juan,57.965,659,58.624
474,2017,4,San Luis,14.604,300,14.904
475,2017,4,Santa Cruz,29.018,434,29.452
476,2017,4,Santa Fe,672.137,323,672.460
477,2017,4,Santiago Del Estero,68.842,2,68.844
478,2017,4,Tierra Del Fuego,28.346,508,28.854
479,2017,4,Tucumán,162.298,34,162.332
480,2017,3,Buenos Aires,3.046.758,11.202,3.057.960
481,2017,3,Capital Federal,1.563.289,7.070,1.570.359
482,2017,3,Catamarca,33.467,11,33.478
483,2017,3,Chaco,93.747,12,93.759
484,2017,3,Chubut,81.067,2.477,83.544
485,2017,3,Córdoba,696.536,108,696.644
486,2017,3,Corrientes,92.536,12,92.548
487,2017,3,Entre Ríos,185.414,50,185.464
488,2017,3,Formosa,32.105,- 0,32.105
489,2017,3,Jujuy,43.241,1,43.242
490,2017,3,La Pampa,79.280,410,79.690
491,2017,3,La Rioja,51.896,17,51.913
492,2017,3,Mendoza,190.958,1.533,192.491
493,2017,3,Misiones,100.476,- 0,100.476
494,2017,3,Neuquén,113.755,2.029,115.784
495,2017,3,Río Negro,106.393,1.103,107.496
496,2017,3,Salta,132.517,1,132.518
497,2017,3,San Juan,61.789,660,62.449
498,2017,3,San Luis,21.408,311,21.719
499,2017,3,Santa Cruz,33.222,468,33.690
500,2017,3,Santa Fe,662.086,256,662.342
501,2017,3,Santiago Del Estero,82.792,2,82.794
502,2017,3,Tierra Del Fuego,30.883,583,31.466
503,2017,3,Tucumán,160.979,33,161.012
504,2017,2,Buenos Aires,3.067.430,11.201,3.078.631
505,2017,2,Capital Federal,1.592.175,8.016,1.600.191
506,2017,2,Catamarca,26.692,13,26.705
507,2017,2,Chaco,90.597,14,90.611
508,2017,2,Chubut,62.245,1.730,63.975
509,2017,2,Córdoba,657.505,133,657.638
510,2017,2,Corrientes,90.085,12,90.097
511,2017,2,Entre Ríos,182.675,57,182.732
512,2017,2,Formosa,29.956,- 0,29.956
513,2017,2,Jujuy,42.656,1,42.657
514,2017,2,La Pampa,72.573,449,73.022
515,2017,2,La Rioja,16.271,18,16.289
516,2017,2,Mendoza,169.302,1.451,170.753
517,2017,2,Misiones,99.794,- 0,99.794
518,2017,2,Neuquén,115.321,2.112,117.433
519,2017,2,Río Negro,100.621,998,101.619
520,2017,2,Salta,108.540,1,108.541
521,2017,2,San Juan,51.261,620,51.881
522,2017,2,San Luis,12.992,315,13.307
523,2017,2,Santa Cruz,26.019,369,26.388
524,2017,2,Santa Fe,566.918,362,567.280
525,2017,2,Santiago Del Estero,33.194,2,33.196
526,2017,2,Tierra Del Fuego,31.938,619,32.557
527,2017,2,Tucumán,154.374,37,154.411
528,2017,1,Buenos Aires,3.178.174,11.202,3.189.376
529,2017,1,Capital Federal,1.391.030,8.016,1.399.046
530,2017,1,Catamarca,26.304,13,26.317
531,2017,1,Chaco,89.036,14,89.050
532,2017,1,Chubut,62.166,1.730,63.896
533,2017,1,Córdoba,641.066,133,641.199
534,2017,1,Corrientes,88.596,12,88.608
535,2017,1,Entre Ríos,180.296,57,180.353
536,2017,1,Formosa,29.705,- 0,29.705
537,2017,1,Jujuy,43.202,1,43.203
538,2017,1,La Pampa,71.458,455,71.913
539,2017,1,La Rioja,16.207,18,16.225
540,2017,1,Mendoza,169.282,1.451,170.733
541,2017,1,Misiones,97.619,- 0,97.619
542,2017,1,Neuquén,113.227,2.112,115.339
543,2017,1,Río Negro,100.288,1.000,101.288
544,2017,1,Salta,107.632,1,107.633
545,2017,1,San Juan,51.253,620,51.873
546,2017,1,San Luis,12.992,315,13.307
547,2017,1,Santa Cruz,26.116,370,26.486
548,2017,1,Santa Fe,562.520,362,562.882
549,2017,1,Santiago Del Estero,34.473,2,34.475
550,2017,1,Tierra Del Fuego,31.938,619,32.557
551,2017,1,Tucumán,152.734,37,152.771
552,2016,4,Buenos Aires,3.131.499,11.202,3.142.701
553,2016,4,Capital Federal,1.393.443,8.016,1.401.459
554,2016,4,Catamarca,27.021,13,27.034
555,2016,4,Chaco,88.833,14,88.847
556,2016,4,Chubut,62.035,1.730,63.765
557,2016,4,Córdoba,636.422,133,636.555
558,2016,4,Corrientes,88.084,12,88.096
559,2016,4,Entre Ríos,180.188,57,180.245
560,2016,4,Formosa,29.513,- 0,29.513
561,2016,4,Jujuy,42.624,1,42.625
562,2016,4,La Pampa,71.368,460,71.828
563,2016,4,La Rioja,16.298,18,16.316
564,2016,4,Mendoza,169.274,1.451,170.725
565,2016,4,Misiones,97.390,- 0,97.390
566,2016,4,Neuquén,111.723,2.112,113.835
567,2016,4,Río Negro,100.020,1.000,101.020
568,2016,4,Salta,106.934,1,106.935
569,2016,4,San Juan,51.301,620,51.921
570,2016,4,San Luis,12.992,315,13.307
571,2016,4,Santa Cruz,26.094,370,26.464
572,2016,4,Santa Fe,561.470,362,561.832
573,2016,4,Santiago Del Estero,35.049,2,35.051
574,2016,4,Tierra Del Fuego,31.938,619,32.557
575,2016,4,Tucumán,151.615,37,151.652
576,2016,3,Buenos Aires,3.075.387,11.205,3.086.592
577,2016,3,Capital Federal,1.395.053,8.051,1.403.104
578,2016,3,Catamarca,26.957,13,26.970
579,2016,3,Chaco,89.216,14,89.230
580,2016,3,Chubut,62.222,1.730,63.952
581,2016,3,Córdoba,642.458,133,642.591
582,2016,3,Corrientes,88.328,12,88.340
583,2016,3,Entre Ríos,181.092,57,181.149
584,2016,3,Formosa,27.716,- 0,27.716
585,2016,3,Jujuy,42.537,1,42.538
586,2016,3,La Pampa,69.903,461,70.364
587,2016,3,La Rioja,16.912,18,16.930
588,2016,3,Mendoza,169.174,1.450,170.624
589,2016,3,Misiones,97.997,- 0,97.997
590,2016,3,Neuquén,110.491,2.112,112.603
591,2016,3,Río Negro,100.024,1.002,101.026
592,2016,3,Salta,107.790,1,107.791
593,2016,3,San Juan,51.348,620,51.968
594,2016,3,San Luis,12.978,315,13.293
595,2016,3,Santa Cruz,25.886,371,26.257
596,2016,3,Santa Fe,566.625,386,567.011
597,2016,3,Santiago Del Estero,35.658,2,35.660
598,2016,3,Tierra Del Fuego,31.306,619,31.925
599,2016,3,Tucumán,151.282,37,151.319
600,2016,2,Buenos Aires,3.032.776,12.515,3.045.291
601,2016,2,Capital Federal,1.384.824,9.760,1.394.584
602,2016,2,Catamarca,26.543,13,26.556
603,2016,2,Chaco,88.235,16,88.251
604,2016,2,Chubut,62.116,1.740,63.856
605,2016,2,Córdoba,634.680,234,634.914
606,2016,2,Corrientes,86.932,24,86.956
607,2016,2,Entre Ríos,178.194,179,178.373
608,2016,2,Formosa,28.801,1,28.802
609,2016,2,Jujuy,41.187,2,41.189
610,2016,2,La Pampa,68.403,485,68.888
611,2016,2,La Rioja,16.718,18,16.736
612,2016,2,Mendoza,169.274,1.550,170.824
613,2016,2,Misiones,95.808,7,95.815
614,2016,2,Neuquén,108.224,2.291,110.515
615,2016,2,Río Negro,99.631,1.073,100.704
616,2016,2,Salta,104.929,3,104.932
617,2016,2,San Juan,51.392,621,52.013
618,2016,2,San Luis,12.939,317,13.256
619,2016,2,Santa Cruz,25.797,356,26.153
620,2016,2,Santa Fe,563.867,607,564.474
621,2016,2,Santiago Del Estero,36.958,3,36.961
622,2016,2,Tierra Del Fuego,30.740,619,31.359
623,2016,2,Tucumán,148.636,41,148.677
624,2016,1,Buenos Aires,2.929.903,12.612,2.942.515
625,2016,1,Capital Federal,1.328.079,9.817,1.337.896
626,2016,1,Catamarca,26.376,13,26.389
627,2016,1,Chaco,86.635,16,86.651
628,2016,1,Chubut,62.060,1.740,63.800
629,2016,1,Córdoba,609.692,234,609.926
630,2016,1,Corrientes,85.510,26,85.536
631,2016,1,Entre Ríos,174.634,179,174.813
632,2016,1,Formosa,28.313,1,28.314
633,2016,1,Jujuy,40.287,2,40.289
634,2016,1,La Pampa,65.442,487,65.929
635,2016,1,La Rioja,16.673,18,16.691
636,2016,1,Mendoza,169.257,1.553,170.810
637,2016,1,Misiones,92.951,7,92.958
638,2016,1,Neuquén,101.969,2.292,104.261
639,2016,1,Río Negro,98.745,1.077,99.822
640,2016,1,Salta,102.423,3,102.426
641,2016,1,San Juan,51.373,621,51.994
642,2016,1,San Luis,12.915,317,13.232
643,2016,1,Santa Cruz,25.931,356,26.287
644,2016,1,Santa Fe,551.378,618,551.996
645,2016,1,Santiago Del Estero,37.695,3,37.698
646,2016,1,Tierra Del Fuego,29.867,619,30.486
647,2016,1,Tucumán,146.596,41,146.637
648,2015,4,Buenos Aires,2.946.743,12.642,2.959.385
649,2015,4,Capital Federal,1.360.381,9.845,1.370.226
650,2015,4,Catamarca,26.459,13,26.472
651,2015,4,Chaco,86.537,16,86.553
652,2015,4,Chubut,62.279,1.740,64.019
653,2015,4,Córdoba,625.835,235,626.070
654,2015,4,Corrientes,85.409,26,85.435
655,2015,4,Entre Ríos,173.957,180,174.137
656,2015,4,Formosa,28.088,1,28.089
657,2015,4,Jujuy,39.922,2,39.924
658,2015,4,La Pampa,66.054,312,66.366
659,2015,4,La Rioja,16.914,18,16.932
660,2015,4,Mendoza,169.251,1.556,170.807
661,2015,4,Misiones,92.846,7,92.853
662,2015,4,Neuquén,105.122,2.294,107.416
663,2015,4,Río Negro,98.655,1.067,99.722
664,2015,4,Salta,101.917,3,101.920
665,2015,4,San Juan,51.408,621,52.029
666,2015,4,San Luis,12.901,317,13.218
667,2015,4,Santa Cruz,26.047,356,26.403
668,2015,4,Santa Fe,561.045,627,561.672
669,2015,4,Santiago Del Estero,39.132,3,39.135
670,2015,4,Tierra Del Fuego,29.334,619,29.953
671,2015,4,Tucumán,146.053,42,146.095
672,2015,3,Buenos Aires,2.916.070,12.695,2.928.765
673,2015,3,Capital Federal,1.362.193,9.875,1.372.068
674,2015,3,Catamarca,26.080,13,26.093
675,2015,3,Chaco,85.354,16,85.370
676,2015,3,Chubut,62.143,1.740,63.883
677,2015,3,Córdoba,622.761,237,622.998
678,2015,3,Corrientes,84.931,28,84.959
679,2015,3,Entre Ríos,172.252,182,172.434
680,2015,3,Formosa,27.751,1,27.752
681,2015,3,Jujuy,39.548,2,39.550
682,2015,3,La Pampa,64.976,495,65.471
683,2015,3,La Rioja,16.753,18,16.771
684,2015,3,Mendoza,169.261,1.562,170.823
685,2015,3,Misiones,91.615,7,91.622
686,2015,3,Neuquén,98.376,2.240,100.616
687,2015,3,Río Negro,98.529,1.085,99.614
688,2015,3,Salta,100.570,3,100.573
689,2015,3,San Juan,51.409,621,52.030
690,2015,3,San Luis,12.902,317,13.219
691,2015,3,Santa Cruz,25.912,359,26.271
692,2015,3,Santa Fe,556.097,641,556.738
693,2015,3,Santiago Del Estero,39.394,3,39.397
694,2015,3,Tierra Del Fuego,33.118,619,33.737
695,2015,3,Tucumán,144.272,42,144.314
696,2015,2,Buenos Aires,2.871.079,12.711,2.883.790
697,2015,2,Capital Federal,1.336.391,9.893,1.346.284
698,2015,2,Catamarca,25.666,13,25.679
699,2015,2,Chaco,83.832,16,83.848
700,2015,2,Chubut,61.745,1.740,63.485
701,2015,2,Córdoba,609.510,236,609.746
702,2015,2,Corrientes,83.288,28,83.316
703,2015,2,Entre Ríos,169.309,183,169.492
704,2015,2,Formosa,27.013,37,27.050
705,2015,2,Jujuy,37.720,2,37.722
706,2015,2,La Pampa,63.552,500,64.052
707,2015,2,La Rioja,16.491,18,16.509
708,2015,2,Mendoza,169.259,1.564,170.823
709,2015,2,Misiones,88.512,7,88.519
710,2015,2,Neuquén,95.644,2.241,97.885
711,2015,2,Río Negro,97.640,1.087,98.727
712,2015,2,Salta,98.264,3,98.267
713,2015,2,San Juan,51.367,621,51.988
714,2015,2,San Luis,12.904,317,13.221
715,2015,2,Santa Cruz,25.384,379,25.763
716,2015,2,Santa Fe,545.739,649,546.388
717,2015,2,Santiago Del Estero,39.375,3,39.378
718,2015,2,Tierra Del Fuego,32.960,619,33.579
719,2015,2,Tucumán,140.635,42,140.677
720,2015,1,Buenos Aires,2.847.076,14.766,2.861.842
721,2015,1,Capital Federal,1.321.139,11.582,1.332.721
722,2015,1,Catamarca,25.312,20,25.332
723,2015,1,Chaco,81.329,31,81.360
724,2015,1,Chubut,63.327,1.946,65.273
725,2015,1,Córdoba,596.663,294,596.957
726,2015,1,Corrientes,81.488,43,81.531
727,2015,1,Entre Ríos,165.839,231,166.070
728,2015,1,Formosa,26.657,43,26.700
729,2015,1,Jujuy,36.608,3,36.611
730,2015,1,La Pampa,62.155,542,62.697
731,2015,1,La Rioja,16.310,23,16.333
732,2015,1,Mendoza,168.355,1.805,170.160
733,2015,1,Misiones,85.139,7,85.146
734,2015,1,Neuquén,93.373,2.369,95.742
735,2015,1,Río Negro,96.145,1.188,97.333
736,2015,1,Salta,96.793,18,96.811
737,2015,1,San Juan,51.117,702,51.819
738,2015,1,San Luis,12.878,354,13.232
739,2015,1,Santa Cruz,26.217,424,26.641
740,2015,1,Santa Fe,535.640,797,536.437
741,2015,1,Santiago Del Estero,39.244,8,39.252
742,2015,1,Tierra Del Fuego,32.726,730,33.456
743,2015,1,Tucumán,138.184,92,138.276
744,2014,4,Buenos Aires,2.801.178,15.229,2.816.407
745,2014,4,Capital Federal,1.318.526,11.994,1.330.520
746,2014,4,Catamarca,25.472,21,25.493
747,2014,4,Chaco,65.998,37,66.035
748,2014,4,Chubut,66.557,1.985,68.542
749,2014,4,Córdoba,590.113,319,590.432
750,2014,4,Corrientes,65.656,54,65.710
751,2014,4,Entre Ríos,140.567,246,140.813
752,2014,4,Formosa,26.156,51,26.207
753,2014,4,Jujuy,35.999,3,36.002
754,2014,4,La Pampa,56.813,567,57.380
755,2014,4,La Rioja,16.379,23,16.402
756,2014,4,Mendoza,167.766,1.848,169.614
757,2014,4,Misiones,77.222,7,77.229
758,2014,4,Neuquén,92.999,2.397,95.396
759,2014,4,Río Negro,95.050,1.210,96.260
760,2014,4,Salta,93.921,26,93.947
761,2014,4,San Juan,51.390,729,52.119
762,2014,4,San Luis,12.788,359,13.147
763,2014,4,Santa Cruz,25.277,436,25.713
764,2014,4,Santa Fe,528.459,938,529.397
765,2014,4,Santiago Del Estero,39.308,9,39.317
766,2014,4,Tierra Del Fuego,28.249,741,28.990
767,2014,4,Tucumán,137.329,95,137.424
768,2014,3,Buenos Aires,2.835.537,14.028,2.849.565
769,2014,3,Capital Federal,1.307.195,10.630,1.317.825
770,2014,3,Catamarca,24.665,21,24.686
771,2014,3,Chaco,63.710,36,63.746
772,2014,3,Chubut,67.130,2.007,69.137
773,2014,3,Córdoba,585.231,200,585.431
774,2014,3,Corrientes,63.516,33,63.549
775,2014,3,Entre Ríos,136.618,115,136.733
776,2014,3,Formosa,25.873,64,25.937
777,2014,3,Jujuy,33.739,2,33.741
778,2014,3,La Pampa,61.861,564,62.425
779,2014,3,La Rioja,15.893,23,15.916
780,2014,3,Mendoza,166.184,1.740,167.924
781,2014,3,Misiones,75.327,- 0,75.327
782,2014,3,Neuquén,100.099,2.268,102.367
783,2014,3,Río Negro,96.629,1.151,97.780
784,2014,3,Salta,92.929,25,92.954
785,2014,3,San Juan,51.031,748,51.779
786,2014,3,San Luis,12.683,363,13.046
787,2014,3,Santa Cruz,25.664,446,26.110
788,2014,3,Santa Fe,520.196,691,520.887
789,2014,3,Santiago Del Estero,37.539,9,37.548
790,2014,3,Tierra Del Fuego,28.037,755,28.792
791,2014,3,Tucumán,131.978,88,132.066
792,2014,2,Buenos Aires,2.750.430,14.116,2.764.546
793,2014,2,Capital Federal,1.299.502,10.713,1.310.215
794,2014,2,Catamarca,24.660,23,24.683
795,2014,2,Chaco,63.243,36,63.279
796,2014,2,Chubut,68.503,2.016,70.519
797,2014,2,Córdoba,576.747,205,576.952
798,2014,2,Corrientes,62.925,33,62.958
799,2014,2,Entre Ríos,135.468,115,135.583
800,2014,2,Formosa,25.535,65,25.600
801,2014,2,Jujuy,34.359,2,34.361
802,2014,2,La Pampa,55.048,580,55.628
803,2014,2,La Rioja,15.889,23,15.912
804,2014,2,Mendoza,165.046,1.761,166.807
805,2014,2,Misiones,74.689,- 0,74.689
806,2014,2,Neuquén,90.053,2.235,92.288
807,2014,2,Río Negro,94.812,1.145,95.957
808,2014,2,Salta,91.949,25,91.974
809,2014,2,San Juan,50.891,755,51.646
810,2014,2,San Luis,12.691,364,13.055
811,2014,2,Santa Cruz,26.710,459,27.169
812,2014,2,Santa Fe,511.753,605,512.358
813,2014,2,Santiago Del Estero,38.002,9,38.011
814,2014,2,Tierra Del Fuego,27.443,766,28.209
815,2014,2,Tucumán,131.981,88,132.069
816,2014,1,Buenos Aires,2.725.732,14.144,2.739.876
817,2014,1,Capital Federal,1.289.204,10.714,1.299.918
818,2014,1,Catamarca,24.209,23,24.232
819,2014,1,Chaco,62.520,36,62.556
820,2014,1,Chubut,68.205,2.016,70.221
821,2014,1,Córdoba,566.705,205,566.910
822,2014,1,Corrientes,62.203,33,62.236
823,2014,1,Entre Ríos,134.216,115,134.331
824,2014,1,Formosa,25.335,87,25.422
825,2014,1,Jujuy,33.825,2,33.827
826,2014,1,La Pampa,53.601,592,54.193
827,2014,1,La Rioja,15.688,23,15.711
828,2014,1,Mendoza,164.084,1.761,165.845
829,2014,1,Misiones,73.950,- 0,73.950
830,2014,1,Neuquén,88.077,2.303,90.380
831,2014,1,Río Negro,93.909,1.157,95.066
832,2014,1,Salta,91.265,25,91.290
833,2014,1,San Juan,50.543,755,51.298
834,2014,1,San Luis,12.193,364,12.557
835,2014,1,Santa Cruz,26.304,460,26.764
836,2014,1,Santa Fe,506.000,612,506.612
837,2014,1,Santiago Del Estero,37.124,9,37.133
838,2014,1,Tierra Del Fuego,27.272,766,28.038
839,2014,1,Tucumán,129.944,88,130.032
